식당 인덱스,rev_score
0,4.336188778261605
1,4.0319289503922775
2,4.061061351452226
3,4.595552187350889
4,3.5463734821056137
5,4.062934753291899
6,4.388958370720514
7,4.010661733818345
8,3.437606453088746
9,4.341432758699067
10,4.206470114628924
11,4.308649494895583
12,3.520303015364334
13,4.296961001479067
14,3.5587568151487474
15,4.678568285046526
16,3.977719506762253
17,4.405977253548594
18,3.979489032712223
19,4.023501748612415
20,4.025097657460719
21,4.128149458523075
22,3.9973853143033544
23,4.48144941832015
24,4.121829834743403
25,4.274611839571148
26,4.520599937438965
27,3.5398953488808482
28,4.559104903358967
29,4.365799803649971
30,4.654887637252919
31,4.456947190505419
32,4.674579101138645
33,4.231854842143639
34,3.9754594871010314
35,4.502128065616126
36,3.7713372949989896
37,4.222263166073524
38,4.600950763786419
39,4.09155929821427
40,4.114139785353296
41,3.9302157365971966
42,4.12327039657076
43,4.3857502174627205
44,0.001799999922513962
45,4.44680349452155
46,3.847471626586749
47,4.089999421926422
48,3.902127949329037
49,3.894120659854641
