index,score
0,0.8090179118474847
1,0.811971413776352
2,0.7911245379654754
3,0.8206045053411248
4,0.7290424260970232
5,0.840450518318431
6,0.8587671893847659
7,0.8215701908392755
8,0.6697372315209285
9,0.8898406349833597
10,0.7932405860938352
11,0.7990620179683328
12,0.7010783178943117
13,0.7633048339256788
14,0.7186794783071219
15,0.8272403610588066
16,0.8200567321577975
17,0.7637698908235936
18,0.8096731652644195
19,0.8091536662672207
20,0.8403074449848976
21,0.8240054337924249
22,0.8460004597516448
23,0.8255298948834582
24,0.6809742442722089
25,0.8070914452403104
26,0.978522926568985
27,0.6845132778802139
28,0.8968982103677263
29,0.8964839649223341
30,0.8932442847495381
31,0.8892812847637335
32,0.6150948673538449
33,0.8202840276442509
34,0.8053521983186495
35,0.8366275251647847
36,0.742703628218536
37,0.8595674187106256
38,0.8740270723614635
39,0.8051244826765834
40,0.8862806752014966
41,0.7804912911623217
42,0.7843714472023919
43,0.9098387874916873
44,0.25114548206329346
45,0.8581889885264226
46,0.7714886215829839
47,0.8437262338214124
48,0.937702734474883
49,0.8376071066131673
50,0.8621760727837682
