식당 인덱스,rev_score
0,4.500223013131243
1,4.090108959453931
2,4.208210030662534
3,4.566058335701625
4,3.6256709307041515
5,4.142724195236382
6,4.3538733858786856
7,4.136361805548741
8,3.650227242800586
9,4.4387205352998444
10,4.226084430475335
11,4.2751668189448875
12,3.675010738868201
13,3.980363938485583
14,3.69803472593323
15,4.43671545986687
16,3.981022290493816
17,4.292156676981185
18,4.012980042527752
19,3.967233875507761
20,4.817411370710893
21,4.312874262166754
22,4.19462541976582
23,4.162341564718862
24,3.777862487600318
25,4.347256130946753
26,4.334700012207032
27,3.5638799550465814
28,4.472409973144532
29,4.429118647954628
30,4.6527337374718245
31,4.4357281434935505
32,4.820244407653809
33,4.385717184723259
34,4.237519210938252
35,4.1576433459995314
36,3.9576163603913326
37,4.256992160730685
38,4.749946081373427
39,4.210855341103993
40,4.321531742770929
41,4.069095949607899
42,4.199447718172363
43,4.355612785250626
44,2.0117500305175784
45,4.253820702518736
46,3.931405024008731
47,4.252025179027039
48,4.273871177615542
49,4.083338494447694
